User,AdID,AdName,...
0,10,WholeFoods_SF,5,gap,36,Starbucks,11,CocaCola
1,47,LonelyPlanetBooks,54,titanic_cameron,42,macys,34,bloomingdales_Ny
2,25,KFC,42,macys,19,sf_giants,48,gaga
3,58,yankees,1,TigerWoods,43,xbox360,23,Tacobell
4,47,LonelyPlanetBooks,46,u2,54,titanic_cameron,7,maybelline
5,12,gamecube,31,KanyeWest,30,KatyPerry,8,JustinTimberlake
6,24,harry_potter_cinema,46,u2,42,macys,30,KatyPerry
7,3,NintendoDS,45,BingTravel,12,gamecube,35,Playstation3
8,28,PeetsCoffee,36,Starbucks,25,KFC,3,NintendoDS
9,21,IronMan2,20,southwestAirlines,44,VirginAmerica,37,inception
10,58,yankees,53,atlantabraves,49,Jordan,1,TigerWoods
11,51,expedia_travel,47,LonelyPlanetBooks,6,oldnavy,44,VirginAmerica
12,15,ny_knicks,38,redsocks,43,xbox360,23,Tacobell
13,42,macys,47,LonelyPlanetBooks,54,titanic_cameron,46,u2
14,53,atlantabraves,52,yamaguchi,29,wendys,19,sf_giants
15,59,MarioBrothers,43,xbox360,12,gamecube,47,LonelyPlanetBooks
16,42,macys,12,gamecube,46,u2,57,britney
17,19,sf_giants,15,ny_knicks,40,phelps,53,atlantabraves
18,40,phelps,15,ny_knicks,1,TigerWoods,17,bruins
19,3,NintendoDS,55,TraderJoes,18,Snapple,11,CocaCola
20,12,gamecube,47,LonelyPlanetBooks,35,Playstation3,0,PokemonGreen
21,20,southwestAirlines,21,IronMan2,18,Snapple,44,VirginAmerica
22,0,PokemonGreen,47,LonelyPlanetBooks,3,NintendoDS,45,BingTravel
23,11,CocaCola,59,MarioBrothers,36,Starbucks,22,burgerking
24,14,WorldGuides,11,CocaCola,55,TraderJoes,29,wendys
25,55,TraderJoes,28,PeetsCoffee,3,NintendoDS,41,gatorade
26,33,MSKinect,2,WestinHotels,44,VirginAmerica,56,DeltaAir
27,44,VirginAmerica,39,avengers,20,southwestAirlines,18,Snapple
28,33,MSKinect,46,u2,0,PokemonGreen,43,xbox360
29,31,KanyeWest,48,gaga,24,harry_potter_cinema,8,JustinTimberlake
30,54,titanic_cameron,21,IronMan2,18,Snapple,56,DeltaAir
31,30,KatyPerry,9,GleeTV,42,macys,57,britney
32,6,oldnavy,23,Tacobell,47,LonelyPlanetBooks,51,expedia_travel
33,12,gamecube,9,GleeTV,13,bieber,42,macys
34,59,MarioBrothers,43,xbox360,0,PokemonGreen,46,u2
35,51,expedia_travel,44,VirginAmerica,43,xbox360,50,HiltonInn
36,59,MarioBrothers,47,LonelyPlanetBooks,42,macys,43,xbox360
37,49,Jordan,17,bruins,52,yamaguchi,43,xbox360
38,8,JustinTimberlake,42,macys,46,u2,48,gaga
39,19,sf_giants,57,britney,12,gamecube,8,JustinTimberlake
40,48,gaga,42,macys,8,JustinTimberlake,1,TigerWoods
41,42,macys,46,u2,34,bloomingdales_Ny,54,titanic_cameron
42,31,KanyeWest,24,harry_potter_cinema,12,gamecube,30,KatyPerry
43,6,oldnavy,20,southwestAirlines,2,WestinHotels,50,HiltonInn
44,47,LonelyPlanetBooks,43,xbox360,35,Playstation3,3,NintendoDS
45,13,bieber,42,macys,57,britney,31,KanyeWest
46,47,LonelyPlanetBooks,27,FinalFantasy500,43,xbox360,35,Playstation3
47,38,redsocks,43,xbox360,19,sf_giants,40,phelps
48,44,VirginAmerica,56,DeltaAir,43,xbox360,6,oldnavy
